No arguments are passed. Using default.
TRAINING IMAGE CLASSIFIER ON 17973 images in 10 CATEGORIES
Extracting image features from full data set.
Analyzing and extracting image features.
+------------------+--------------+------------------+
| Images Processed | Elapsed Time | Percent Complete |
| 1990             | 19m 56s      | 11%              |
| 2000             | 20m 2s       | 11%              |
| 2010             | 20m 8s       | 11%              |
| 2020             | 20m 14s      | 11%              |
| 2030             | 20m 20s      | 11.25%           |
| 2040             | 20m 26s      | 11.25%           |
| 2050             | 20m 32s      | 11.25%           |
| 2060             | 20m 38s      | 11.25%           |
| 2070             | 20m 44s      | 11.5%            |
| 2080             | 20m 50s      | 11.5%            |
| 2090             | 20m 56s      | 11.5%            |
| 2100             | 21m 2s       | 11.5%            |
| 2110             | 21m 8s       | 11.5%            |
| 2120             | 21m 14s      | 11.75%           |
| 2130             | 21m 21s      | 11.75%           |
| 2140             | 21m 26s      | 11.75%           |
| 2150             | 21m 33s      | 11.75%           |
| 2160             | 21m 39s      | 12%              |
| 2170             | 21m 45s      | 12%              |
| 2180             | 21m 51s      | 12%              |
| 2190             | 21m 57s      | 12%              |
| 2200             | 22m 3s       | 12%              |
| 2210             | 22m 9s       | 12.25%           |
| 2220             | 22m 15s      | 12.25%           |
| 2230             | 22m 21s      | 12.25%           |
| 2240             | 22m 27s      | 12.25%           |
| 2250             | 22m 33s      | 12.5%            |
| 2260             | 22m 39s      | 12.5%            |
| 2270             | 22m 45s      | 12.5%            |
| 2280             | 22m 51s      | 12.5%            |
| 2290             | 22m 57s      | 12.5%            |
| 2300             | 23m 3s       | 12.75%           |
| 2310             | 23m 9s       | 12.75%           |
| 2320             | 23m 15s      | 12.75%           |
| 2330             | 23m 21s      | 12.75%           |
| 2340             | 23m 27s      | 13%              |
| 2350             | 23m 33s      | 13%              |
| 2360             | 23m 39s      | 13%              |
| 2370             | 23m 45s      | 13%              |
| 2380             | 23m 51s      | 13%              |
| 2390             | 23m 57s      | 13.25%           |
| 2400             | 24m 3s       | 13.25%           |
| 2410             | 24m 9s       | 13.25%           |
| 2420             | 24m 15s      | 13.25%           |
| 2430             | 24m 21s      | 13.5%            |
| 2440             | 24m 27s      | 13.5%            |
| 2450             | 24m 33s      | 13.5%            |
| 2460             | 24m 39s      | 13.5%            |
| 2470             | 24m 45s      | 13.5%            |
| 2480             | 24m 51s      | 13.75%           |
| 2490             | 24m 57s      | 13.75%           |
| 2500             | 25m 3s       | 13.75%           |
| 2510             | 25m 9s       | 13.75%           |
| 2520             | 25m 15s      | 14%              |
| 2530             | 25m 22s      | 14%              |
| 2540             | 25m 27s      | 14%              |
| 2550             | 25m 34s      | 14%              |
| 2560             | 25m 39s      | 14%              |
| 2570             | 25m 45s      | 14.25%           |
| 2580             | 25m 52s      | 14.25%           |
| 2590             | 25m 58s      | 14.25%           |
| 2600             | 26m 3s       | 14.25%           |
| 2610             | 26m 9s       | 14.5%            |
| 2620             | 26m 16s      | 14.5%            |
| 2630             | 26m 22s      | 14.5%            |
| 2640             | 26m 28s      | 14.5%            |
| 2650             | 26m 34s      | 14.5%            |
| 2660             | 26m 40s      | 14.75%           |
| 2670             | 26m 46s      | 14.75%           |
| 2680             | 26m 52s      | 14.75%           |
| 2690             | 26m 58s      | 14.75%           |
| 2700             | 27m 4s       | 15%              |
| 2710             | 27m 10s      | 15%              |
| 2720             | 27m 16s      | 15%              |
| 2730             | 27m 22s      | 15%              |
| 2740             | 27m 28s      | 15%              |
| 2750             | 27m 34s      | 15.25%           |
| 2760             | 27m 40s      | 15.25%           |
| 2770             | 27m 46s      | 15.25%           |
| 2780             | 27m 52s      | 15.25%           |
| 2790             | 27m 58s      | 15.5%            |
| 2800             | 28m 4s       | 15.5%            |
| 2810             | 28m 10s      | 15.5%            |
| 2820             | 28m 16s      | 15.5%            |
| 2830             | 28m 22s      | 15.5%            |
| 2840             | 28m 28s      | 15.75%           |
| 2850             | 28m 34s      | 15.75%           |
| 2860             | 28m 40s      | 15.75%           |
| 2870             | 28m 46s      | 15.75%           |
| 2880             | 28m 52s      | 16%              |
| 2890             | 28m 58s      | 16%              |
| 2900             | 29m 4s       | 16%              |
| 2910             | 29m 10s      | 16%              |
| 2920             | 29m 16s      | 16%              |
| 2930             | 29m 22s      | 16.25%           |
| 2940             | 29m 28s      | 16.25%           |
| 2950             | 29m 34s      | 16.25%           |
| 2960             | 29m 40s      | 16.25%           |
| 2970             | 29m 46s      | 16.5%            |
| 2980             | 29m 52s      | 16.5%            |
| 2990             | 29m 58s      | 16.5%            |
| 3000             | 30m 4s       | 16.5%            |
| 3010             | 30m 10s      | 16.5%            |
| 3020             | 30m 16s      | 16.75%           |
| 3030             | 30m 22s      | 16.75%           |
| 3040             | 30m 28s      | 16.75%           |
| 3050             | 30m 34s      | 16.75%           |
| 3060             | 30m 40s      | 17%              |
| 3070             | 30m 46s      | 17%              |
| 3080             | 30m 52s      | 17%              |
| 3090             | 30m 59s      | 17%              |
| 3100             | 31m 4s       | 17%              |
| 3110             | 31m 11s      | 17.25%           |
| 3120             | 31m 17s      | 17.25%           |
| 3130             | 31m 23s      | 17.25%           |
| 3140             | 31m 29s      | 17.25%           |
| 3150             | 31m 35s      | 17.5%            |
| 3160             | 31m 41s      | 17.5%            |
| 3170             | 31m 47s      | 17.5%            |
| 3180             | 31m 53s      | 17.5%            |
| 3190             | 31m 59s      | 17.5%            |
| 3200             | 32m 5s       | 17.75%           |
| 3210             | 32m 11s      | 17.75%           |
| 3220             | 32m 17s      | 17.75%           |
| 3230             | 32m 23s      | 17.75%           |
| 3240             | 32m 29s      | 18%              |
| 3250             | 32m 35s      | 18%              |
| 3260             | 32m 41s      | 18%              |
| 3270             | 32m 47s      | 18%              |
| 3280             | 32m 53s      | 18%              |
| 3290             | 32m 59s      | 18.25%           |
| 3300             | 33m 5s       | 18.25%           |
| 3310             | 33m 11s      | 18.25%           |
| 3320             | 33m 17s      | 18.25%           |
| 3330             | 33m 23s      | 18.5%            |
| 3340             | 33m 29s      | 18.5%            |
| 3350             | 33m 35s      | 18.5%            |
| 3360             | 33m 41s      | 18.5%            |
| 3370             | 33m 47s      | 18.75%           |
| 3380             | 33m 53s      | 18.75%           |
| 3390             | 33m 59s      | 18.75%           |
| 3400             | 34m 5s       | 18.75%           |
| 3410             | 34m 11s      | 18.75%           |
| 3420             | 34m 17s      | 19%              |
| 3430             | 34m 23s      | 19%              |
| 3440             | 34m 29s      | 19%              |
| 3450             | 34m 35s      | 19%              |
| 3460             | 34m 41s      | 19.25%           |
| 3470             | 34m 47s      | 19.25%           |
| 3480             | 34m 53s      | 19.25%           |
| 3490             | 34m 59s      | 19.25%           |
| 3500             | 35m 5s       | 19.25%           |
| 3510             | 35m 11s      | 19.5%            |
| 3520             | 35m 17s      | 19.5%            |
| 3530             | 35m 23s      | 19.5%            |
| 3540             | 35m 29s      | 19.5%            |
| 3550             | 35m 35s      | 19.75%           |
| 3560             | 35m 41s      | 19.75%           |
| 3570             | 35m 47s      | 19.75%           |
| 3580             | 35m 53s      | 19.75%           |
| 3590             | 35m 59s      | 19.75%           |
| 3600             | 36m 5s       | 20%              |
| 3610             | 36m 11s      | 20%              |
| 3620             | 36m 18s      | 20%              |
| 3630             | 36m 24s      | 20%              |
| 3640             | 36m 29s      | 20.25%           |
| 3650             | 36m 35s      | 20.25%           |
| 3660             | 36m 41s      | 20.25%           |
| 3670             | 36m 47s      | 20.25%           |
| 3680             | 36m 54s      | 20.25%           |
| 3690             | 37m 0s       | 20.5%            |
| 3700             | 37m 6s       | 20.5%            |
| 3710             | 37m 12s      | 20.5%            |
| 3720             | 37m 18s      | 20.5%            |
| 3730             | 37m 24s      | 20.75%           |
| 3740             | 37m 30s      | 20.75%           |
| 3750             | 37m 36s      | 20.75%           |
| 3760             | 37m 42s      | 20.75%           |
| 3770             | 37m 48s      | 20.75%           |
| 3780             | 37m 54s      | 21%              |
| 3790             | 38m 0s       | 21%              |
| 3800             | 38m 6s       | 21%              |
| 3810             | 38m 12s      | 21%              |
| 3820             | 38m 18s      | 21.25%           |
| 3830             | 38m 24s      | 21.25%           |
| 3840             | 38m 30s      | 21.25%           |
| 3850             | 38m 36s      | 21.25%           |
| 3860             | 38m 42s      | 21.25%           |
| 3870             | 38m 48s      | 21.5%            |
| 3880             | 38m 54s      | 21.5%            |
| 3890             | 39m 0s       | 21.5%            |
| 3900             | 39m 6s       | 21.5%            |
| 3910             | 39m 12s      | 21.75%           |
| 3920             | 39m 18s      | 21.75%           |
| 3930             | 39m 24s      | 21.75%           |
| 3940             | 39m 30s      | 21.75%           |
| 3950             | 39m 36s      | 21.75%           |
| 3960             | 39m 42s      | 22%              |
| 3970             | 39m 48s      | 22%              |
| 3980             | 39m 54s      | 22%              |
| 3990             | 40m 0s       | 22%              |
| 4000             | 40m 6s       | 22.25%           |
| 4010             | 40m 12s      | 22.25%           |
| 4020             | 40m 18s      | 22.25%           |
| 4030             | 40m 24s      | 22.25%           |
| 4040             | 40m 30s      | 22.25%           |
| 4050             | 40m 36s      | 22.5%            |
| 4060             | 40m 42s      | 22.5%            |
| 4070             | 40m 48s      | 22.5%            |
| 4080             | 40m 54s      | 22.5%            |
| 4090             | 41m 0s       | 22.75%           |
| 4100             | 41m 6s       | 22.75%           |
| 4110             | 41m 12s      | 22.75%           |
| 4120             | 41m 18s      | 22.75%           |
| 4130             | 41m 24s      | 22.75%           |
| 4140             | 41m 30s      | 23%              |
| 4150             | 41m 36s      | 23%              |
| 4160             | 41m 42s      | 23%              |
| 4170             | 41m 48s      | 23%              |
| 4180             | 41m 54s      | 23.25%           |
| 4190             | 42m 0s       | 23.25%           |
| 4200             | 42m 6s       | 23.25%           |
| 4210             | 42m 12s      | 23.25%           |
| 4220             | 42m 18s      | 23.25%           |
| 4230             | 42m 24s      | 23.5%            |
| 4240             | 42m 30s      | 23.5%            |
| 4250             | 42m 36s      | 23.5%            |
| 4260             | 42m 42s      | 23.5%            |
| 4270             | 42m 48s      | 23.75%           |
| 4280             | 42m 54s      | 23.75%           |
| 4290             | 43m 0s       | 23.75%           |
| 4300             | 43m 6s       | 23.75%           |
| 4310             | 43m 12s      | 23.75%           |
| 4320             | 43m 18s      | 24%              |
| 4330             | 43m 24s      | 24%              |
| 4340             | 43m 30s      | 24%              |
| 4350             | 43m 36s      | 24%              |
| 4360             | 43m 42s      | 24.25%           |
| 4370             | 43m 48s      | 24.25%           |
| 4380             | 43m 55s      | 24.25%           |
| 4390             | 44m 1s       | 24.25%           |
| 4400             | 44m 7s       | 24.25%           |
| 4410             | 44m 13s      | 24.5%            |
| 4420             | 44m 19s      | 24.5%            |
| 4430             | 44m 25s      | 24.5%            |
| 4440             | 44m 31s      | 24.5%            |
| 4450             | 44m 37s      | 24.75%           |
| 4460             | 44m 43s      | 24.75%           |
| 4470             | 44m 49s      | 24.75%           |
| 4480             | 44m 55s      | 24.75%           |
| 4490             | 45m 1s       | 24.75%           |
| 4500             | 45m 7s       | 25%              |
| 4510             | 45m 13s      | 25%              |
| 4520             | 45m 19s      | 25%              |
| 4530             | 45m 25s      | 25%              |
| 4540             | 45m 31s      | 25.25%           |
| 4550             | 45m 37s      | 25.25%           |
| 4560             | 45m 43s      | 25.25%           |
| 4570             | 45m 49s      | 25.25%           |
| 4580             | 45m 55s      | 25.25%           |
| 4590             | 46m 1s       | 25.5%            |
| 4600             | 46m 7s       | 25.5%            |
| 4610             | 46m 13s      | 25.5%            |
| 4620             | 46m 19s      | 25.5%            |
| 4630             | 46m 25s      | 25.75%           |
| 4640             | 46m 31s      | 25.75%           |
| 4650             | 46m 37s      | 25.75%           |
| 4660             | 46m 43s      | 25.75%           |
| 4670             | 46m 49s      | 25.75%           |
| 4680             | 46m 55s      | 26%              |
| 4690             | 47m 1s       | 26%              |
| 4700             | 47m 7s       | 26%              |
| 4710             | 47m 13s      | 26%              |
| 4720             | 47m 19s      | 26.25%           |
| 4730             | 47m 25s      | 26.25%           |
| 4740             | 47m 31s      | 26.25%           |
| 4750             | 47m 37s      | 26.25%           |
| 4760             | 47m 43s      | 26.25%           |
| 4770             | 47m 49s      | 26.5%            |
| 4780             | 47m 55s      | 26.5%            |
| 4790             | 48m 1s       | 26.5%            |
| 4800             | 48m 7s       | 26.5%            |
| 4810             | 48m 13s      | 26.75%           |
| 4820             | 48m 19s      | 26.75%           |
| 4830             | 48m 25s      | 26.75%           |
| 4840             | 48m 31s      | 26.75%           |
| 4850             | 48m 37s      | 26.75%           |
| 4860             | 48m 43s      | 27%              |
| 4870             | 48m 49s      | 27%              |
| 4880             | 48m 55s      | 27%              |
| 4890             | 49m 1s       | 27%              |
| 4900             | 49m 7s       | 27.25%           |
| 4910             | 49m 13s      | 27.25%           |
| 4920             | 49m 19s      | 27.25%           |
| 4930             | 49m 25s      | 27.25%           |
| 4940             | 49m 31s      | 27.25%           |
| 4950             | 49m 37s      | 27.5%            |
| 4960             | 49m 43s      | 27.5%            |
| 4970             | 49m 49s      | 27.5%            |
| 4980             | 49m 55s      | 27.5%            |
| 4990             | 50m 1s       | 27.75%           |
| 5000             | 50m 7s       | 27.75%           |
| 5010             | 50m 13s      | 27.75%           |
| 5020             | 50m 19s      | 27.75%           |
| 5030             | 50m 25s      | 27.75%           |
| 5040             | 50m 31s      | 28%              |
| 5050             | 50m 37s      | 28%              |
| 5060             | 50m 43s      | 28%              |
| 5070             | 50m 49s      | 28%              |
| 5080             | 50m 55s      | 28.25%           |
| 5090             | 51m 1s       | 28.25%           |
| 5100             | 51m 7s       | 28.25%           |
| 5110             | 51m 13s      | 28.25%           |
| 5120             | 51m 19s      | 28.25%           |
| 5130             | 51m 25s      | 28.5%            |
| 5140             | 51m 31s      | 28.5%            |
| 5150             | 51m 37s      | 28.5%            |
| 5160             | 51m 43s      | 28.5%            |
| 5170             | 51m 49s      | 28.75%           |
| 5180             | 51m 55s      | 28.75%           |
| 5190             | 52m 1s       | 28.75%           |
| 5200             | 52m 7s       | 28.75%           |
| 5210             | 52m 13s      | 28.75%           |
| 5220             | 52m 19s      | 29%              |
| 5230             | 52m 26s      | 29%              |
| 5240             | 52m 32s      | 29%              |
| 5250             | 52m 38s      | 29%              |
| 5260             | 52m 44s      | 29.25%           |
| 5270             | 52m 50s      | 29.25%           |
| 5280             | 52m 56s      | 29.25%           |
| 5290             | 53m 2s       | 29.25%           |
| 5300             | 53m 8s       | 29.25%           |
| 5310             | 53m 14s      | 29.5%            |
| 5320             | 53m 20s      | 29.5%            |
| 5330             | 53m 26s      | 29.5%            |
| 5340             | 53m 32s      | 29.5%            |
| 5350             | 53m 38s      | 29.75%           |
| 5360             | 53m 44s      | 29.75%           |
| 5370             | 53m 50s      | 29.75%           |
| 5380             | 53m 56s      | 29.75%           |
| 5390             | 54m 2s       | 29.75%           |
| 5400             | 54m 8s       | 30%              |
| 5410             | 54m 14s      | 30%              |
| 5420             | 54m 20s      | 30%              |
| 5430             | 54m 26s      | 30%              |
| 5440             | 54m 32s      | 30.25%           |
| 5450             | 54m 38s      | 30.25%           |
| 5460             | 54m 44s      | 30.25%           |
| 5470             | 54m 50s      | 30.25%           |
| 5480             | 54m 56s      | 30.25%           |
| 5490             | 55m 2s       | 30.5%            |
| 5500             | 55m 8s       | 30.5%            |
| 5510             | 55m 14s      | 30.5%            |
| 5520             | 55m 20s      | 30.5%            |
| 5530             | 55m 26s      | 30.75%           |
| 5540             | 55m 32s      | 30.75%           |
| 5550             | 55m 38s      | 30.75%           |
| 5560             | 55m 44s      | 30.75%           |
| 5570             | 55m 50s      | 30.75%           |
| 5580             | 55m 56s      | 31%              |
| 5590             | 56m 2s       | 31%              |
| 5600             | 56m 8s       | 31%              |
| 5610             | 56m 14s      | 31%              |
| 5620             | 56m 20s      | 31.25%           |
| 5630             | 56m 26s      | 31.25%           |
| 5640             | 56m 32s      | 31.25%           |
| 5650             | 56m 38s      | 31.25%           |
| 5660             | 56m 44s      | 31.25%           |
| 5670             | 56m 50s      | 31.5%            |
| 5680             | 56m 56s      | 31.5%            |
| 5690             | 57m 2s       | 31.5%            |
| 5700             | 57m 8s       | 31.5%            |
| 5710             | 57m 14s      | 31.75%           |
| 5720             | 57m 20s      | 31.75%           |
| 5730             | 57m 26s      | 31.75%           |
| 5740             | 57m 32s      | 31.75%           |
| 5750             | 57m 38s      | 31.75%           |
| 5760             | 57m 44s      | 32%              |
| 5770             | 57m 50s      | 32%              |
| 5780             | 57m 56s      | 32%              |
| 5790             | 58m 2s       | 32%              |
| 5800             | 58m 8s       | 32.25%           |
| 5810             | 58m 14s      | 32.25%           |
| 5820             | 58m 20s      | 32.25%           |
| 5830             | 58m 26s      | 32.25%           |
| 5840             | 58m 32s      | 32.25%           |
| 5850             | 58m 38s      | 32.5%            |
| 5860             | 58m 44s      | 32.5%            |
| 5870             | 58m 50s      | 32.5%            |
| 5880             | 58m 56s      | 32.5%            |
| 5890             | 59m 2s       | 32.75%           |
| 5900             | 59m 8s       | 32.75%           |
| 5910             | 59m 14s      | 32.75%           |
| 5920             | 59m 20s      | 32.75%           |
| 5930             | 59m 26s      | 32.75%           |
| 5940             | 59m 32s      | 33%              |
| 5950             | 59m 38s      | 33%              |
| 5960             | 59m 44s      | 33%              |
| 5970             | 59m 50s      | 33%              |
| 5980             | 59m 56s      | 33.25%           |
| 5990             | 1h 0m        | 33.25%           |
| 6000             | 1h 0m        | 33.25%           |
| 6010             | 1h 0m        | 33.25%           |
| 6020             | 1h 0m        | 33.25%           |
| 6030             | 1h 0m        | 33.5%            |
| 6040             | 1h 0m        | 33.5%            |
| 6050             | 1h 0m        | 33.5%            |
| 6060             | 1h 0m        | 33.5%            |
| 6070             | 1h 0m        | 33.75%           |
| 6080             | 1h 0m        | 33.75%           |
| 6090             | 1h 1m        | 33.75%           |
| 6100             | 1h 1m        | 33.75%           |
| 6110             | 1h 1m        | 33.75%           |
| 6120             | 1h 1m        | 34%              |
| 6130             | 1h 1m        | 34%              |
| 6140             | 1h 1m        | 34%              |
| 6150             | 1h 1m        | 34%              |
| 6160             | 1h 1m        | 34.25%           |
| 6170             | 1h 1m        | 34.25%           |
| 6180             | 1h 1m        | 34.25%           |
| 6190             | 1h 2m        | 34.25%           |
| 6200             | 1h 2m        | 34.25%           |
| 6210             | 1h 2m        | 34.5%            |
| 6220             | 1h 2m        | 34.5%            |
| 6230             | 1h 2m        | 34.5%            |
| 6240             | 1h 2m        | 34.5%            |
| 6250             | 1h 2m        | 34.75%           |
| 6260             | 1h 2m        | 34.75%           |
| 6270             | 1h 2m        | 34.75%           |
| 6280             | 1h 2m        | 34.75%           |
| 6290             | 1h 3m        | 34.75%           |
| 6300             | 1h 3m        | 35%              |
| 6310             | 1h 3m        | 35%              |
| 6320             | 1h 3m        | 35%              |
| 6330             | 1h 3m        | 35%              |
| 6340             | 1h 3m        | 35.25%           |
| 6350             | 1h 3m        | 35.25%           |
| 6360             | 1h 3m        | 35.25%           |
| 6370             | 1h 3m        | 35.25%           |
| 6380             | 1h 3m        | 35.25%           |
| 6390             | 1h 4m        | 35.5%            |
| 6400             | 1h 4m        | 35.5%            |
| 6410             | 1h 4m        | 35.5%            |
