No arguments are passed. Using default.
TRAINING IMAGE CLASSIFIER ON 17973 in 10 CATEGORIES
Extracting image features from full data set.
Analyzing and extracting image features.
+------------------+--------------+------------------+
| Images Processed | Elapsed Time | Percent Complete |
| 2325             | 6m 59s       | 12.75%           |
| 2350             | 7m 4s        | 13%              |
| 2375             | 7m 8s        | 13%              |
| 2400             | 7m 13s       | 13.25%           |
| 2425             | 7m 17s       | 13.25%           |
| 2450             | 7m 22s       | 13.5%            |
| 2475             | 7m 26s       | 13.75%           |
| 2500             | 7m 31s       | 13.75%           |
| 2525             | 7m 35s       | 14%              |
| 2550             | 7m 40s       | 14%              |
| 2575             | 7m 44s       | 14.25%           |
| 2600             | 7m 49s       | 14.25%           |
| 2625             | 7m 53s       | 14.5%            |
| 2650             | 7m 58s       | 14.5%            |
| 2675             | 8m 2s        | 14.75%           |
| 2700             | 8m 7s        | 15%              |
| 2725             | 8m 11s       | 15%              |
| 2750             | 8m 15s       | 15.25%           |
| 2775             | 8m 20s       | 15.25%           |
| 2800             | 8m 24s       | 15.5%            |
| 2825             | 8m 29s       | 15.5%            |
| 2850             | 8m 33s       | 15.75%           |
| 2875             | 8m 38s       | 15.75%           |
| 2900             | 8m 42s       | 16%              |
| 2925             | 8m 47s       | 16.25%           |
| 2950             | 8m 51s       | 16.25%           |
| 2975             | 8m 56s       | 16.5%            |
| 3000             | 9m 0s        | 16.5%            |
| 3025             | 9m 5s        | 16.75%           |
| 3050             | 9m 9s        | 16.75%           |
| 3075             | 9m 14s       | 17%              |
| 3100             | 9m 18s       | 17%              |
| 3125             | 9m 23s       | 17.25%           |
| 3150             | 9m 27s       | 17.5%            |
| 3175             | 9m 31s       | 17.5%            |
| 3200             | 9m 36s       | 17.75%           |
| 3225             | 9m 40s       | 17.75%           |
| 3250             | 9m 45s       | 18%              |
| 3275             | 9m 49s       | 18%              |
| 3300             | 9m 54s       | 18.25%           |
| 3325             | 9m 58s       | 18.25%           |
| 3350             | 10m 3s       | 18.5%            |
| 3375             | 10m 7s       | 18.75%           |
| 3400             | 10m 12s      | 18.75%           |
| 3425             | 10m 16s      | 19%              |
| 3450             | 10m 21s      | 19%              |
| 3475             | 10m 25s      | 19.25%           |
| 3500             | 10m 30s      | 19.25%           |
| 3525             | 10m 34s      | 19.5%            |
| 3550             | 10m 39s      | 19.75%           |
| 3575             | 10m 43s      | 19.75%           |
| 3600             | 10m 47s      | 20%              |
| 3625             | 10m 52s      | 20%              |
| 3650             | 10m 56s      | 20.25%           |
| 3675             | 11m 1s       | 20.25%           |
| 3700             | 11m 5s       | 20.5%            |
| 3725             | 11m 10s      | 20.5%            |
| 3750             | 11m 14s      | 20.75%           |
| 3775             | 11m 19s      | 21%              |
| 3800             | 11m 23s      | 21%              |
| 3825             | 11m 28s      | 21.25%           |
| 3850             | 11m 32s      | 21.25%           |
| 3875             | 11m 37s      | 21.5%            |
| 3900             | 11m 41s      | 21.5%            |
| 3925             | 11m 46s      | 21.75%           |
| 3950             | 11m 50s      | 21.75%           |
| 3975             | 11m 54s      | 22%              |
| 4000             | 11m 59s      | 22.25%           |
| 4025             | 12m 3s       | 22.25%           |
| 4050             | 12m 8s       | 22.5%            |
| 4075             | 12m 12s      | 22.5%            |
| 4100             | 12m 17s      | 22.75%           |
| 4125             | 12m 21s      | 22.75%           |
| 4150             | 12m 26s      | 23%              |
| 4175             | 12m 30s      | 23%              |
| 4200             | 12m 35s      | 23.25%           |
| 4225             | 12m 39s      | 23.5%            |
| 4250             | 12m 44s      | 23.5%            |
| 4275             | 12m 48s      | 23.75%           |
| 4300             | 12m 53s      | 23.75%           |
| 4325             | 12m 57s      | 24%              |
| 4350             | 13m 2s       | 24%              |
| 4375             | 13m 6s       | 24.25%           |
| 4400             | 13m 10s      | 24.25%           |
| 4425             | 13m 15s      | 24.5%            |
| 4450             | 13m 19s      | 24.75%           |
| 4475             | 13m 24s      | 24.75%           |
| 4500             | 13m 28s      | 25%              |
| 4525             | 13m 33s      | 25%              |
| 4550             | 13m 37s      | 25.25%           |
| 4575             | 13m 42s      | 25.25%           |
| 4600             | 13m 46s      | 25.5%            |
| 4625             | 13m 51s      | 25.5%            |
| 4650             | 13m 55s      | 25.75%           |
| 4675             | 14m 0s       | 26%              |
| 4700             | 14m 4s       | 26%              |
| 4725             | 14m 9s       | 26.25%           |
| 4750             | 14m 13s      | 26.25%           |
| 4775             | 14m 18s      | 26.5%            |
| 4800             | 14m 22s      | 26.5%            |
| 4825             | 14m 27s      | 26.75%           |
| 4850             | 14m 31s      | 26.75%           |
| 4875             | 14m 35s      | 27%              |
| 4900             | 14m 40s      | 27.25%           |
| 4925             | 14m 44s      | 27.25%           |
| 4950             | 14m 49s      | 27.5%            |
| 4975             | 14m 53s      | 27.5%            |
| 5000             | 14m 58s      | 27.75%           |
| 5025             | 15m 2s       | 27.75%           |
| 5050             | 15m 7s       | 28%              |
| 5075             | 15m 11s      | 28%              |
| 5100             | 15m 16s      | 28.25%           |
| 5125             | 15m 20s      | 28.5%            |
| 5150             | 15m 25s      | 28.5%            |
| 5175             | 15m 29s      | 28.75%           |
| 5200             | 15m 33s      | 28.75%           |
| 5225             | 15m 38s      | 29%              |
| 5250             | 15m 42s      | 29%              |
| 5275             | 15m 47s      | 29.25%           |
| 5300             | 15m 51s      | 29.25%           |
| 5325             | 15m 56s      | 29.5%            |
| 5350             | 16m 0s       | 29.75%           |
| 5375             | 16m 5s       | 29.75%           |
| 5400             | 16m 9s       | 30%              |
| 5425             | 16m 14s      | 30%              |
| 5450             | 16m 18s      | 30.25%           |
| 5475             | 16m 23s      | 30.25%           |
| 5500             | 16m 27s      | 30.5%            |
| 5525             | 16m 32s      | 30.5%            |
| 5550             | 16m 36s      | 30.75%           |
| 5575             | 16m 40s      | 31%              |
| 5600             | 16m 45s      | 31%              |
| 5625             | 16m 49s      | 31.25%           |
| 5650             | 16m 54s      | 31.25%           |
| 5675             | 16m 59s      | 31.5%            |
| 5700             | 17m 3s       | 31.5%            |
| 5725             | 17m 7s       | 31.75%           |
| 5750             | 17m 12s      | 31.75%           |
| 5775             | 17m 16s      | 32%              |
| 5800             | 17m 21s      | 32.25%           |
| 5825             | 17m 25s      | 32.25%           |
| 5850             | 17m 30s      | 32.5%            |
| 5875             | 17m 34s      | 32.5%            |
| 5900             | 17m 39s      | 32.75%           |
| 5925             | 17m 43s      | 32.75%           |
| 5950             | 17m 48s      | 33%              |
| 5975             | 17m 52s      | 33%              |
| 6000             | 17m 57s      | 33.25%           |
| 6025             | 18m 1s       | 33.5%            |
| 6050             | 18m 6s       | 33.5%            |
| 6075             | 18m 10s      | 33.75%           |
| 6100             | 18m 15s      | 33.75%           |
| 6125             | 18m 19s      | 34%              |
| 6150             | 18m 23s      | 34%              |
| 6175             | 18m 28s      | 34.25%           |
| 6200             | 18m 32s      | 34.25%           |
| 6225             | 18m 37s      | 34.5%            |
| 6250             | 18m 41s      | 34.75%           |
| 6275             | 18m 46s      | 34.75%           |
| 6300             | 18m 50s      | 35%              |
| 6325             | 18m 55s      | 35%              |
| 6350             | 18m 59s      | 35.25%           |
| 6375             | 19m 4s       | 35.25%           |
| 6400             | 19m 8s       | 35.5%            |
| 6425             | 19m 13s      | 35.5%            |
| 6450             | 19m 17s      | 35.75%           |
| 6475             | 19m 22s      | 36%              |
| 6500             | 19m 26s      | 36%              |
| 6525             | 19m 31s      | 36.25%           |
| 6550             | 19m 35s      | 36.25%           |
| 6575             | 19m 39s      | 36.5%            |
| 6600             | 19m 44s      | 36.5%            |
| 6625             | 19m 48s      | 36.75%           |
| 6650             | 19m 53s      | 36.75%           |
| 6675             | 19m 57s      | 37%              |
| 6700             | 20m 2s       | 37.25%           |
| 6725             | 20m 6s       | 37.25%           |
| 6750             | 20m 11s      | 37.5%            |
| 6775             | 20m 15s      | 37.5%            |
| 6800             | 20m 20s      | 37.75%           |
| 6825             | 20m 24s      | 37.75%           |
| 6850             | 20m 29s      | 38%              |
| 6875             | 20m 33s      | 38.25%           |
| 6900             | 20m 38s      | 38.25%           |
| 6925             | 20m 42s      | 38.5%            |
| 6950             | 20m 46s      | 38.5%            |
| 6975             | 20m 51s      | 38.75%           |
| 7000             | 20m 55s      | 38.75%           |
| 7025             | 21m 0s       | 39%              |
| 7050             | 21m 4s       | 39%              |
| 7075             | 21m 9s       | 39.25%           |
| 7100             | 21m 13s      | 39.5%            |
| 7125             | 21m 18s      | 39.5%            |
| 7150             | 21m 22s      | 39.75%           |
| 7175             | 21m 27s      | 39.75%           |
| 7200             | 21m 31s      | 40%              |
| 7225             | 21m 36s      | 40%              |
| 7250             | 21m 40s      | 40.25%           |
| 7275             | 21m 45s      | 40.25%           |
| 7300             | 21m 49s      | 40.5%            |
| 7325             | 21m 54s      | 40.75%           |
| 7350             | 21m 58s      | 40.75%           |
| 7375             | 22m 2s       | 41%              |
| 7400             | 22m 7s       | 41%              |
| 7425             | 22m 11s      | 41.25%           |
| 7450             | 22m 16s      | 41.25%           |
| 7475             | 22m 20s      | 41.5%            |
| 7500             | 22m 25s      | 41.5%            |
| 7525             | 22m 29s      | 41.75%           |
| 7550             | 22m 34s      | 42%              |
| 7575             | 22m 38s      | 42%              |
| 7600             | 22m 43s      | 42.25%           |
| 7625             | 22m 47s      | 42.25%           |
| 7650             | 22m 52s      | 42.5%            |
| 7675             | 22m 56s      | 42.5%            |
| 7700             | 23m 1s       | 42.75%           |
| 7725             | 23m 5s       | 42.75%           |
| 7750             | 23m 10s      | 43%              |
| 7775             | 23m 14s      | 43.25%           |
| 7800             | 23m 19s      | 43.25%           |
| 7825             | 23m 23s      | 43.5%            |
| 7850             | 23m 27s      | 43.5%            |
| 7875             | 23m 32s      | 43.75%           |
| 7900             | 23m 36s      | 43.75%           |
| 7925             | 23m 41s      | 44%              |
| 7950             | 23m 45s      | 44%              |
| 7975             | 23m 50s      | 44.25%           |
| 8000             | 23m 54s      | 44.5%            |
| 8025             | 23m 59s      | 44.5%            |
| 8050             | 24m 3s       | 44.75%           |
| 8075             | 24m 8s       | 44.75%           |
| 8100             | 24m 12s      | 45%              |
| 8125             | 24m 17s      | 45%              |
| 8150             | 24m 21s      | 45.25%           |
| 8175             | 24m 26s      | 45.25%           |
| 8200             | 24m 30s      | 45.5%            |
| 8225             | 24m 34s      | 45.75%           |
| 8250             | 24m 39s      | 45.75%           |
| 8275             | 24m 43s      | 46%              |
| 8300             | 24m 48s      | 46%              |
| 8325             | 24m 52s      | 46.25%           |
| 8350             | 24m 57s      | 46.25%           |
| 8375             | 25m 1s       | 46.5%            |
| 8400             | 25m 6s       | 46.5%            |
| 8425             | 25m 10s      | 46.75%           |
| 8450             | 25m 15s      | 47%              |
| 8475             | 25m 19s      | 47%              |
| 8500             | 25m 24s      | 47.25%           |
| 8525             | 25m 28s      | 47.25%           |
| 8550             | 25m 33s      | 47.5%            |
| 8575             | 25m 37s      | 47.5%            |
| 8600             | 25m 42s      | 47.75%           |
| 8625             | 25m 46s      | 47.75%           |
| 8650             | 25m 50s      | 48%              |
| 8675             | 25m 55s      | 48.25%           |
| 8700             | 25m 59s      | 48.25%           |
| 8725             | 26m 4s       | 48.5%            |
| 8750             | 26m 8s       | 48.5%            |
| 8775             | 26m 13s      | 48.75%           |
| 8800             | 26m 17s      | 48.75%           |
| 8825             | 26m 22s      | 49%              |
| 8850             | 26m 26s      | 49%              |
| 8875             | 26m 31s      | 49.25%           |
| 8900             | 26m 35s      | 49.5%            |
| 8925             | 26m 40s      | 49.5%            |
| 8950             | 26m 44s      | 49.75%           |
| 8975             | 26m 49s      | 49.75%           |
| 9000             | 26m 53s      | 50%              |
| 9025             | 26m 58s      | 50%              |
| 9050             | 27m 2s       | 50.25%           |
| 9075             | 27m 6s       | 50.25%           |
| 9100             | 27m 11s      | 50.5%            |
| 9125             | 27m 15s      | 50.75%           |
| 9150             | 27m 20s      | 50.75%           |
| 9175             | 27m 24s      | 51%              |
| 9200             | 27m 29s      | 51%              |
| 9225             | 27m 33s      | 51.25%           |
| 9250             | 27m 38s      | 51.25%           |
| 9275             | 27m 42s      | 51.5%            |
| 9300             | 27m 47s      | 51.5%            |
| 9325             | 27m 51s      | 51.75%           |
| 9350             | 27m 56s      | 52%              |
| 9375             | 28m 0s       | 52%              |
| 9400             | 28m 5s       | 52.25%           |
| 9425             | 28m 9s       | 52.25%           |
| 9450             | 28m 14s      | 52.5%            |
| 9475             | 28m 18s      | 52.5%            |
| 9500             | 28m 22s      | 52.75%           |
| 9525             | 28m 27s      | 52.75%           |
| 9550             | 28m 31s      | 53%              |
| 9575             | 28m 36s      | 53.25%           |
| 9600             | 28m 40s      | 53.25%           |
| 9625             | 28m 45s      | 53.5%            |
| 9650             | 28m 49s      | 53.5%            |
| 9675             | 28m 54s      | 53.75%           |
| 9700             | 28m 58s      | 53.75%           |
| 9725             | 29m 3s       | 54%              |
| 9750             | 29m 7s       | 54%              |
| 9775             | 29m 12s      | 54.25%           |
| 9800             | 29m 16s      | 54.5%            |
| 9825             | 29m 21s      | 54.5%            |
| 9850             | 29m 25s      | 54.75%           |
| 9875             | 29m 30s      | 54.75%           |
| 9900             | 29m 34s      | 55%              |
| 9925             | 29m 38s      | 55%              |
| 9950             | 29m 43s      | 55.25%           |
| 9975             | 29m 47s      | 55.25%           |
| 10000            | 29m 52s      | 55.5%            |
| 10025            | 29m 56s      | 55.75%           |
| 10050            | 30m 1s       | 55.75%           |
| 10075            | 30m 5s       | 56%              |
| 10100            | 30m 10s      | 56%              |
| 10125            | 30m 14s      | 56.25%           |
| 10150            | 30m 19s      | 56.25%           |
| 10175            | 30m 23s      | 56.5%            |
| 10200            | 30m 28s      | 56.75%           |
| 10225            | 30m 32s      | 56.75%           |
| 10250            | 30m 36s      | 57%              |
| 10275            | 30m 41s      | 57%              |
| 10300            | 30m 45s      | 57.25%           |
| 10325            | 30m 50s      | 57.25%           |
| 10350            | 30m 54s      | 57.5%            |
| 10375            | 30m 59s      | 57.5%            |
| 10400            | 31m 3s       | 57.75%           |
| 10425            | 31m 8s       | 58%              |
| 10450            | 31m 12s      | 58%              |
| 10475            | 31m 17s      | 58.25%           |
| 10500            | 31m 21s      | 58.25%           |
| 10525            | 31m 26s      | 58.5%            |
| 10550            | 31m 30s      | 58.5%            |
| 10575            | 31m 35s      | 58.75%           |
| 10600            | 31m 39s      | 58.75%           |
| 10625            | 31m 44s      | 59%              |
| 10650            | 31m 48s      | 59.25%           |
| 10675            | 31m 53s      | 59.25%           |
| 10700            | 31m 57s      | 59.5%            |
| 10725            | 32m 1s       | 59.5%            |
| 10750            | 32m 6s       | 59.75%           |
| 10775            | 32m 10s      | 59.75%           |
| 10800            | 32m 15s      | 60%              |
| 10825            | 32m 19s      | 60%              |
| 10850            | 32m 24s      | 60.25%           |
| 10875            | 32m 28s      | 60.5%            |
| 10900            | 32m 33s      | 60.5%            |
| 10925            | 32m 37s      | 60.75%           |
| 10950            | 32m 42s      | 60.75%           |
| 10975            | 32m 46s      | 61%              |
| 11000            | 32m 51s      | 61%              |
| 11025            | 32m 55s      | 61.25%           |
| 11050            | 33m 0s       | 61.25%           |
| 11075            | 33m 4s       | 61.5%            |
| 11100            | 33m 9s       | 61.75%           |
| 11125            | 33m 13s      | 61.75%           |
| 11150            | 33m 17s      | 62%              |
| 11175            | 33m 22s      | 62%              |
| 11200            | 33m 26s      | 62.25%           |
| 11225            | 33m 31s      | 62.25%           |
| 11250            | 33m 35s      | 62.5%            |
| 11275            | 33m 40s      | 62.5%            |
| 11300            | 33m 44s      | 62.75%           |
| 11325            | 33m 49s      | 63%              |
| 11350            | 33m 53s      | 63%              |
| 11375            | 33m 58s      | 63.25%           |
| 11400            | 34m 2s       | 63.25%           |
| 11425            | 34m 7s       | 63.5%            |
| 11450            | 34m 11s      | 63.5%            |
| 11475            | 34m 16s      | 63.75%           |
| 11500            | 34m 20s      | 63.75%           |
| 11525            | 34m 24s      | 64%              |
| 11550            | 34m 29s      | 64.25%           |
| 11575            | 34m 33s      | 64.25%           |
| 11600            | 34m 38s      | 64.5%            |
| 11625            | 34m 42s      | 64.5%            |
| 11650            | 34m 47s      | 64.75%           |
| 11675            | 34m 51s      | 64.75%           |
| 11700            | 34m 56s      | 65%              |
| 11725            | 35m 0s       | 65%              |
| 11750            | 35m 5s       | 65.25%           |
| 11775            | 35m 9s       | 65.5%            |
| 11800            | 35m 14s      | 65.5%            |
| 11825            | 35m 18s      | 65.75%           |
| 11850            | 35m 23s      | 65.75%           |
| 11875            | 35m 27s      | 66%              |
| 11900            | 35m 32s      | 66%              |
| 11925            | 35m 36s      | 66.25%           |
| 11950            | 35m 41s      | 66.25%           |
| 11975            | 35m 45s      | 66.5%            |
| 12000            | 35m 49s      | 66.75%           |
| 12025            | 35m 54s      | 66.75%           |
| 12050            | 35m 58s      | 67%              |
| 12075            | 36m 3s       | 67%              |
| 12100            | 36m 7s       | 67.25%           |
| 12125            | 36m 12s      | 67.25%           |
| 12150            | 36m 16s      | 67.5%            |
| 12175            | 36m 21s      | 67.5%            |
| 12200            | 36m 25s      | 67.75%           |
| 12225            | 36m 30s      | 68%              |
| 12250            | 36m 34s      | 68%              |
| 12275            | 36m 39s      | 68.25%           |
| 12300            | 36m 43s      | 68.25%           |
| 12325            | 36m 48s      | 68.5%            |
| 12350            | 36m 52s      | 68.5%            |
| 12375            | 36m 57s      | 68.75%           |
| 12400            | 37m 1s       | 68.75%           |
| 12425            | 37m 5s       | 69%              |
| 12450            | 37m 10s      | 69.25%           |
| 12475            | 37m 14s      | 69.25%           |
| 12500            | 37m 19s      | 69.5%            |
| 12525            | 37m 23s      | 69.5%            |
| 12550            | 37m 28s      | 69.75%           |
| 12575            | 37m 32s      | 69.75%           |
| 12600            | 37m 37s      | 70%              |
| 12625            | 37m 41s      | 70%              |
| 12650            | 37m 46s      | 70.25%           |
| 12675            | 37m 50s      | 70.5%            |
| 12700            | 37m 55s      | 70.5%            |
| 12725            | 37m 59s      | 70.75%           |
| 12750            | 38m 4s       | 70.75%           |
| 12775            | 38m 8s       | 71%              |
| 12800            | 38m 13s      | 71%              |
| 12825            | 38m 17s      | 71.25%           |
| 12850            | 38m 21s      | 71.25%           |
| 12875            | 38m 26s      | 71.5%            |
| 12900            | 38m 30s      | 71.75%           |
| 12925            | 38m 35s      | 71.75%           |
| 12950            | 38m 39s      | 72%              |
| 12975            | 38m 44s      | 72%              |
| 13000            | 38m 48s      | 72.25%           |
| 13025            | 38m 53s      | 72.25%           |
| 13050            | 38m 57s      | 72.5%            |
| 13075            | 39m 2s       | 72.5%            |
| 13100            | 39m 6s       | 72.75%           |
| 13125            | 39m 11s      | 73%              |
| 13150            | 39m 15s      | 73%              |
| 13175            | 39m 20s      | 73.25%           |
| 13200            | 39m 24s      | 73.25%           |
| 13225            | 39m 28s      | 73.5%            |
| 13250            | 39m 33s      | 73.5%            |
| 13275            | 39m 37s      | 73.75%           |
| 13300            | 39m 42s      | 73.75%           |
| 13325            | 39m 46s      | 74%              |
| 13350            | 39m 51s      | 74.25%           |
| 13375            | 39m 55s      | 74.25%           |
| 13400            | 40m 0s       | 74.5%            |
| 13425            | 40m 4s       | 74.5%            |
| 13450            | 40m 9s       | 74.75%           |
| 13475            | 40m 13s      | 74.75%           |
| 13500            | 40m 18s      | 75%              |
| 13525            | 40m 22s      | 75.25%           |
| 13550            | 40m 27s      | 75.25%           |
| 13575            | 40m 31s      | 75.5%            |
| 13600            | 40m 35s      | 75.5%            |
| 13625            | 40m 40s      | 75.75%           |
| 13650            | 40m 44s      | 75.75%           |
| 13675            | 40m 49s      | 76%              |
| 13700            | 40m 53s      | 76%              |
| 13725            | 40m 58s      | 76.25%           |
| 13750            | 41m 2s       | 76.5%            |
| 13775            | 41m 7s       | 76.5%            |
| 13800            | 41m 11s      | 76.75%           |
| 13825            | 41m 16s      | 76.75%           |
| 13850            | 41m 20s      | 77%              |
| 13875            | 41m 25s      | 77%              |
| 13900            | 41m 29s      | 77.25%           |
| 13925            | 41m 34s      | 77.25%           |
| 13950            | 41m 38s      | 77.5%            |
| 13975            | 41m 42s      | 77.75%           |
| 14000            | 41m 47s      | 77.75%           |
| 14025            | 41m 51s      | 78%              |
| 14050            | 41m 56s      | 78%              |
| 14075            | 42m 0s       | 78.25%           |
| 14100            | 42m 5s       | 78.25%           |
| 14125            | 42m 9s       | 78.5%            |
| 14150            | 42m 14s      | 78.5%            |
| 14175            | 42m 18s      | 78.75%           |
| 14200            | 42m 23s      | 79%              |
| 14225            | 42m 27s      | 79%              |
| 14250            | 42m 32s      | 79.25%           |
| 14275            | 42m 36s      | 79.25%           |
| 14300            | 42m 41s      | 79.5%            |
| 14325            | 42m 45s      | 79.5%            |
| 14350            | 42m 49s      | 79.75%           |
| 14375            | 42m 54s      | 79.75%           |
| 14400            | 42m 58s      | 80%              |
| 14425            | 43m 3s       | 80.25%           |
| 14450            | 43m 7s       | 80.25%           |
| 14475            | 43m 12s      | 80.5%            |
| 14500            | 43m 16s      | 80.5%            |
| 14525            | 43m 21s      | 80.75%           |
| 14550            | 43m 25s      | 80.75%           |
| 14575            | 43m 30s      | 81%              |
| 14600            | 43m 34s      | 81%              |
| 14625            | 43m 39s      | 81.25%           |
| 14650            | 43m 43s      | 81.5%            |
| 14675            | 43m 48s      | 81.5%            |
| 14700            | 43m 52s      | 81.75%           |
| 14725            | 43m 56s      | 81.75%           |
| 14750            | 44m 1s       | 82%              |
| 14775            | 44m 5s       | 82%              |
| 14800            | 44m 10s      | 82.25%           |
| 14825            | 44m 14s      | 82.25%           |
| 14850            | 44m 19s      | 82.5%            |
| 14875            | 44m 23s      | 82.75%           |
| 14900            | 44m 28s      | 82.75%           |
| 14925            | 44m 32s      | 83%              |
| 14950            | 44m 37s      | 83%              |
| 14975            | 44m 41s      | 83.25%           |
| 15000            | 44m 46s      | 83.25%           |
| 15025            | 44m 50s      | 83.5%            |
| 15050            | 44m 55s      | 83.5%            |
| 15075            | 44m 59s      | 83.75%           |
| 15100            | 45m 4s       | 84%              |
| 15125            | 45m 8s       | 84%              |
| 15150            | 45m 13s      | 84.25%           |
| 15175            | 45m 17s      | 84.25%           |
| 15200            | 45m 22s      | 84.5%            |
| 15225            | 45m 26s      | 84.5%            |
| 15250            | 45m 30s      | 84.75%           |
| 15275            | 45m 35s      | 84.75%           |
| 15300            | 45m 39s      | 85%              |
| 15325            | 45m 44s      | 85.25%           |
| 15350            | 45m 48s      | 85.25%           |
| 15375            | 45m 53s      | 85.5%            |
| 15400            | 45m 57s      | 85.5%            |
| 15425            | 46m 2s       | 85.75%           |
| 15450            | 46m 6s       | 85.75%           |
| 15475            | 46m 11s      | 86%              |
| 15500            | 46m 15s      | 86%              |
| 15525            | 46m 20s      | 86.25%           |
| 15550            | 46m 24s      | 86.5%            |
| 15575            | 46m 29s      | 86.5%            |
| 15600            | 46m 33s      | 86.75%           |
| 15625            | 46m 37s      | 86.75%           |
| 15650            | 46m 42s      | 87%              |
| 15675            | 46m 46s      | 87%              |
| 15700            | 46m 51s      | 87.25%           |
| 15725            | 46m 55s      | 87.25%           |
| 15750            | 47m 0s       | 87.5%            |
| 15775            | 47m 4s       | 87.75%           |
| 15800            | 47m 9s       | 87.75%           |
| 15825            | 47m 13s      | 88%              |
| 15850            | 47m 18s      | 88%              |
| 15875            | 47m 22s      | 88.25%           |
| 15900            | 47m 27s      | 88.25%           |
| 15925            | 47m 31s      | 88.5%            |
