No arguments are passed. Using default.
TRAINING IMAGE CLASSIFIER ON 17995 images in 10 CATEGORIES
4 augmented images by 'crop' to be generated.
Automatically generating validation set from 5% of the data.
Extracting augmented image features from training data set.
Analyzing and extracting image features.
+----------------------+------------------+--------------+------------------+
| Raw Images Processed | Augmented Images | Elapsed Time | Percent Complete |
| 900                  | 4500             | 13m 34s      | 5.25%            |
| 905                  | 4525             | 13m 39s      | 5.25%            |
| 910                  | 4550             | 13m 43s      | 5.25%            |
| 915                  | 4575             | 13m 47s      | 5.25%            |
| 920                  | 4600             | 13m 52s      | 5.25%            |
| 925                  | 4625             | 13m 56s      | 5.25%            |
| 930                  | 4650             | 14m 1s       | 5.25%            |
| 935                  | 4675             | 14m 5s       | 5.25%            |
| 940                  | 4700             | 14m 10s      | 5.5%             |
| 945                  | 4725             | 14m 14s      | 5.5%             |
| 950                  | 4750             | 14m 19s      | 5.5%             |
| 955                  | 4775             | 14m 23s      | 5.5%             |
| 960                  | 4800             | 14m 28s      | 5.5%             |
| 965                  | 4825             | 14m 32s      | 5.5%             |
| 970                  | 4850             | 14m 37s      | 5.5%             |
| 975                  | 4875             | 14m 41s      | 5.5%             |
| 980                  | 4900             | 14m 46s      | 5.5%             |
| 985                  | 4925             | 14m 50s      | 5.75%            |
| 990                  | 4950             | 14m 55s      | 5.75%            |
| 995                  | 4975             | 14m 59s      | 5.75%            |
| 1000                 | 5000             | 15m 4s       | 5.75%            |
| 1005                 | 5025             | 15m 8s       | 5.75%            |
| 1010                 | 5050             | 15m 13s      | 5.75%            |
| 1015                 | 5075             | 15m 17s      | 5.75%            |
| 1020                 | 5100             | 15m 22s      | 5.75%            |
| 1025                 | 5125             | 15m 26s      | 6%               |
| 1030                 | 5150             | 15m 31s      | 6%               |
| 1035                 | 5175             | 15m 35s      | 6%               |
| 1040                 | 5200             | 15m 40s      | 6%               |
| 1045                 | 5225             | 15m 44s      | 6%               |
| 1050                 | 5250             | 15m 48s      | 6%               |
| 1055                 | 5275             | 15m 53s      | 6%               |
| 1060                 | 5300             | 15m 57s      | 6%               |
| 1065                 | 5325             | 16m 2s       | 6%               |
| 1070                 | 5350             | 16m 6s       | 6.25%            |
| 1075                 | 5375             | 16m 11s      | 6.25%            |
| 1080                 | 5400             | 16m 15s      | 6.25%            |
| 1085                 | 5425             | 16m 19s      | 6.25%            |
| 1090                 | 5450             | 16m 25s      | 6.25%            |
| 1095                 | 5475             | 16m 30s      | 6.25%            |
| 1100                 | 5500             | 16m 34s      | 6.25%            |
| 1105                 | 5525             | 16m 38s      | 6.25%            |
| 1110                 | 5550             | 16m 43s      | 6.25%            |
| 1115                 | 5575             | 16m 48s      | 6.5%             |
| 1120                 | 5600             | 16m 52s      | 6.5%             |
| 1125                 | 5625             | 16m 57s      | 6.5%             |
| 1130                 | 5650             | 17m 1s       | 6.5%             |
| 1135                 | 5675             | 17m 6s       | 6.5%             |
| 1140                 | 5700             | 17m 10s      | 6.5%             |
| 1145                 | 5725             | 17m 15s      | 6.5%             |
| 1150                 | 5750             | 17m 19s      | 6.5%             |
| 1155                 | 5775             | 17m 24s      | 6.75%            |
| 1160                 | 5800             | 17m 28s      | 6.75%            |
| 1165                 | 5825             | 17m 33s      | 6.75%            |
| 1170                 | 5850             | 17m 37s      | 6.75%            |
| 1175                 | 5875             | 17m 42s      | 6.75%            |
| 1180                 | 5900             | 17m 46s      | 6.75%            |
| 1185                 | 5925             | 17m 50s      | 6.75%            |
| 1190                 | 5950             | 17m 55s      | 6.75%            |
| 1195                 | 5975             | 17m 59s      | 6.75%            |
| 1200                 | 6000             | 18m 4s       | 7%               |
| 1205                 | 6025             | 18m 8s       | 7%               |
| 1210                 | 6050             | 18m 12s      | 7%               |
| 1215                 | 6075             | 18m 17s      | 7%               |
| 1220                 | 6100             | 18m 21s      | 7%               |
| 1225                 | 6125             | 18m 26s      | 7%               |
| 1230                 | 6150             | 18m 30s      | 7%               |
| 1235                 | 6175             | 18m 35s      | 7%               |
| 1240                 | 6200             | 18m 39s      | 7.25%            |
| 1245                 | 6225             | 18m 43s      | 7.25%            |
| 1250                 | 6250             | 18m 48s      | 7.25%            |
| 1255                 | 6275             | 18m 52s      | 7.25%            |
| 1260                 | 6300             | 18m 57s      | 7.25%            |
| 1265                 | 6325             | 19m 1s       | 7.25%            |
| 1270                 | 6350             | 19m 6s       | 7.25%            |
| 1275                 | 6375             | 19m 10s      | 7.25%            |
| 1280                 | 6400             | 19m 14s      | 7.25%            |
| 1285                 | 6425             | 19m 19s      | 7.5%             |
| 1290                 | 6450             | 19m 23s      | 7.5%             |
| 1295                 | 6475             | 19m 28s      | 7.5%             |
| 1300                 | 6500             | 19m 32s      | 7.5%             |
| 1305                 | 6525             | 19m 37s      | 7.5%             |
| 1310                 | 6550             | 19m 41s      | 7.5%             |
| 1315                 | 6575             | 19m 45s      | 7.5%             |
| 1320                 | 6600             | 19m 50s      | 7.5%             |
| 1325                 | 6625             | 19m 54s      | 7.75%            |
| 1330                 | 6650             | 19m 59s      | 7.75%            |
| 1335                 | 6675             | 20m 3s       | 7.75%            |
| 1340                 | 6700             | 20m 8s       | 7.75%            |
| 1345                 | 6725             | 20m 12s      | 7.75%            |
| 1350                 | 6750             | 20m 17s      | 7.75%            |
| 1355                 | 6775             | 20m 21s      | 7.75%            |
| 1360                 | 6800             | 20m 25s      | 7.75%            |
| 1365                 | 6825             | 20m 30s      | 7.75%            |
| 1370                 | 6850             | 20m 34s      | 8%               |
| 1375                 | 6875             | 20m 39s      | 8%               |
| 1380                 | 6900             | 20m 43s      | 8%               |
| 1385                 | 6925             | 20m 48s      | 8%               |
| 1390                 | 6950             | 20m 52s      | 8%               |
| 1395                 | 6975             | 20m 56s      | 8%               |
| 1400                 | 7000             | 21m 1s       | 8%               |
| 1405                 | 7025             | 21m 5s       | 8%               |
| 1410                 | 7050             | 21m 10s      | 8.25%            |
| 1415                 | 7075             | 21m 14s      | 8.25%            |
| 1420                 | 7100             | 21m 19s      | 8.25%            |
| 1425                 | 7125             | 21m 23s      | 8.25%            |
| 1430                 | 7150             | 21m 28s      | 8.25%            |
| 1435                 | 7175             | 21m 32s      | 8.25%            |
| 1440                 | 7200             | 21m 36s      | 8.25%            |
| 1445                 | 7225             | 21m 41s      | 8.25%            |
| 1450                 | 7250             | 21m 45s      | 8.25%            |
| 1455                 | 7275             | 21m 50s      | 8.5%             |
| 1460                 | 7300             | 21m 54s      | 8.5%             |
| 1465                 | 7325             | 21m 59s      | 8.5%             |
| 1470                 | 7350             | 22m 3s       | 8.5%             |
| 1475                 | 7375             | 22m 8s       | 8.5%             |
| 1480                 | 7400             | 22m 12s      | 8.5%             |
| 1485                 | 7425             | 22m 17s      | 8.5%             |
| 1490                 | 7450             | 22m 21s      | 8.5%             |
| 1495                 | 7475             | 22m 26s      | 8.75%            |
| 1500                 | 7500             | 22m 30s      | 8.75%            |
| 1505                 | 7525             | 22m 35s      | 8.75%            |
| 1510                 | 7550             | 22m 39s      | 8.75%            |
| 1515                 | 7575             | 22m 44s      | 8.75%            |
| 1520                 | 7600             | 22m 48s      | 8.75%            |
| 1525                 | 7625             | 22m 53s      | 8.75%            |
| 1530                 | 7650             | 22m 57s      | 8.75%            |
| 1535                 | 7675             | 23m 1s       | 8.75%            |
| 1540                 | 7700             | 23m 6s       | 9%               |
| 1545                 | 7725             | 23m 11s      | 9%               |
| 1550                 | 7750             | 23m 15s      | 9%               |
| 1555                 | 7775             | 23m 19s      | 9%               |
| 1560                 | 7800             | 23m 24s      | 9%               |
| 1565                 | 7825             | 23m 28s      | 9%               |
| 1570                 | 7850             | 23m 33s      | 9%               |
| 1575                 | 7875             | 23m 37s      | 9%               |
| 1580                 | 7900             | 23m 42s      | 9.25%            |
| 1585                 | 7925             | 23m 46s      | 9.25%            |
| 1590                 | 7950             | 23m 51s      | 9.25%            |
| 1595                 | 7975             | 23m 55s      | 9.25%            |
| 1600                 | 8000             | 24m 0s       | 9.25%            |
| 1605                 | 8025             | 24m 4s       | 9.25%            |
| 1610                 | 8050             | 24m 8s       | 9.25%            |
| 1615                 | 8075             | 24m 13s      | 9.25%            |
| 1620                 | 8100             | 24m 17s      | 9.25%            |
| 1625                 | 8125             | 24m 22s      | 9.5%             |
| 1630                 | 8150             | 24m 26s      | 9.5%             |
| 1635                 | 8175             | 24m 31s      | 9.5%             |
| 1640                 | 8200             | 24m 35s      | 9.5%             |
| 1645                 | 8225             | 24m 40s      | 9.5%             |
| 1650                 | 8250             | 24m 44s      | 9.5%             |
| 1655                 | 8275             | 24m 49s      | 9.5%             |
| 1660                 | 8300             | 24m 53s      | 9.5%             |
| 1665                 | 8325             | 24m 58s      | 9.5%             |
| 1670                 | 8350             | 25m 2s       | 9.75%            |
| 1675                 | 8375             | 25m 7s       | 9.75%            |
| 1680                 | 8400             | 25m 11s      | 9.75%            |
| 1685                 | 8425             | 25m 15s      | 9.75%            |
| 1690                 | 8450             | 25m 20s      | 9.75%            |
| 1695                 | 8475             | 25m 24s      | 9.75%            |
| 1700                 | 8500             | 25m 29s      | 9.75%            |
| 1705                 | 8525             | 25m 33s      | 9.75%            |
| 1710                 | 8550             | 25m 38s      | 10%              |
| 1715                 | 8575             | 25m 42s      | 10%              |
| 1720                 | 8600             | 25m 47s      | 10%              |
| 1725                 | 8625             | 25m 51s      | 10%              |
| 1730                 | 8650             | 25m 55s      | 10%              |
| 1735                 | 8675             | 26m 0s       | 10%              |
| 1740                 | 8700             | 26m 4s       | 10%              |
| 1745                 | 8725             | 26m 9s       | 10%              |
| 1750                 | 8750             | 26m 13s      | 10%              |
| 1755                 | 8775             | 26m 18s      | 10.25%           |
| 1760                 | 8800             | 26m 22s      | 10.25%           |
| 1765                 | 8825             | 26m 27s      | 10.25%           |
| 1770                 | 8850             | 26m 31s      | 10.25%           |
| 1775                 | 8875             | 26m 36s      | 10.25%           |
| 1780                 | 8900             | 26m 40s      | 10.25%           |
| 1785                 | 8925             | 26m 45s      | 10.25%           |
| 1790                 | 8950             | 26m 49s      | 10.25%           |
| 1795                 | 8975             | 26m 54s      | 10.5%            |
| 1800                 | 9000             | 26m 58s      | 10.5%            |
| 1805                 | 9025             | 27m 3s       | 10.5%            |
| 1810                 | 9050             | 27m 7s       | 10.5%            |
| 1815                 | 9075             | 27m 12s      | 10.5%            |
| 1820                 | 9100             | 27m 16s      | 10.5%            |
| 1825                 | 9125             | 27m 21s      | 10.5%            |
| 1830                 | 9150             | 27m 25s      | 10.5%            |
| 1835                 | 9175             | 27m 30s      | 10.5%            |
| 1840                 | 9200             | 27m 34s      | 10.75%           |
| 1845                 | 9225             | 27m 39s      | 10.75%           |
| 1850                 | 9250             | 27m 43s      | 10.75%           |
| 1855                 | 9275             | 27m 48s      | 10.75%           |
| 1860                 | 9300             | 27m 52s      | 10.75%           |
| 1865                 | 9325             | 27m 57s      | 10.75%           |
| 1870                 | 9350             | 28m 1s       | 10.75%           |
| 1875                 | 9375             | 28m 6s       | 10.75%           |
| 1880                 | 9400             | 28m 10s      | 11%              |
| 1885                 | 9425             | 28m 15s      | 11%              |
| 1890                 | 9450             | 28m 19s      | 11%              |
| 1895                 | 9475             | 28m 23s      | 11%              |
| 1900                 | 9500             | 28m 28s      | 11%              |
| 1905                 | 9525             | 28m 32s      | 11%              |
| 1910                 | 9550             | 28m 37s      | 11%              |
| 1915                 | 9575             | 28m 41s      | 11%              |
| 1920                 | 9600             | 28m 46s      | 11%              |
| 1925                 | 9625             | 28m 50s      | 11.25%           |
| 1930                 | 9650             | 28m 55s      | 11.25%           |
| 1935                 | 9675             | 28m 59s      | 11.25%           |
| 1940                 | 9700             | 29m 4s       | 11.25%           |
| 1945                 | 9725             | 29m 8s       | 11.25%           |
| 1950                 | 9750             | 29m 13s      | 11.25%           |
| 1955                 | 9775             | 29m 17s      | 11.25%           |
| 1960                 | 9800             | 29m 22s      | 11.25%           |
| 1965                 | 9825             | 29m 26s      | 11.5%            |
| 1970                 | 9850             | 29m 31s      | 11.5%            |
| 1975                 | 9875             | 29m 35s      | 11.5%            |
| 1980                 | 9900             | 29m 40s      | 11.5%            |
| 1985                 | 9925             | 29m 44s      | 11.5%            |
| 1990                 | 9950             | 29m 48s      | 11.5%            |
| 1995                 | 9975             | 29m 53s      | 11.5%            |
| 2000                 | 10000            | 29m 57s      | 11.5%            |
| 2005                 | 10025            | 30m 2s       | 11.5%            |
| 2010                 | 10050            | 30m 6s       | 11.75%           |
| 2015                 | 10075            | 30m 11s      | 11.75%           |
| 2020                 | 10100            | 30m 15s      | 11.75%           |
| 2025                 | 10125            | 30m 20s      | 11.75%           |
| 2030                 | 10150            | 30m 24s      | 11.75%           |
| 2035                 | 10175            | 30m 29s      | 11.75%           |
| 2040                 | 10200            | 30m 33s      | 11.75%           |
| 2045                 | 10225            | 30m 38s      | 11.75%           |
| 2050                 | 10250            | 30m 42s      | 12%              |
| 2055                 | 10275            | 30m 47s      | 12%              |
| 2060                 | 10300            | 30m 51s      | 12%              |
| 2065                 | 10325            | 30m 56s      | 12%              |
| 2070                 | 10350            | 31m 0s       | 12%              |
| 2075                 | 10375            | 31m 5s       | 12%              |
| 2080                 | 10400            | 31m 10s      | 12%              |
| 2085                 | 10425            | 31m 14s      | 12%              |
| 2090                 | 10450            | 31m 19s      | 12%              |
| 2095                 | 10475            | 31m 23s      | 12.25%           |
| 2100                 | 10500            | 31m 28s      | 12.25%           |
| 2105                 | 10525            | 31m 32s      | 12.25%           |
| 2110                 | 10550            | 31m 37s      | 12.25%           |
| 2115                 | 10575            | 31m 41s      | 12.25%           |
| 2120                 | 10600            | 31m 45s      | 12.25%           |
| 2125                 | 10625            | 31m 50s      | 12.25%           |
| 2130                 | 10650            | 31m 54s      | 12.25%           |
| 2135                 | 10675            | 31m 59s      | 12.5%            |
| 2140                 | 10700            | 32m 3s       | 12.5%            |
| 2145                 | 10725            | 32m 8s       | 12.5%            |
| 2150                 | 10750            | 32m 12s      | 12.5%            |
| 2155                 | 10775            | 32m 17s      | 12.5%            |
| 2160                 | 10800            | 32m 21s      | 12.5%            |
| 2165                 | 10825            | 32m 26s      | 12.5%            |
| 2170                 | 10850            | 32m 30s      | 12.5%            |
| 2175                 | 10875            | 32m 35s      | 12.5%            |
| 2180                 | 10900            | 32m 39s      | 12.75%           |
| 2185                 | 10925            | 32m 44s      | 12.75%           |
| 2190                 | 10950            | 32m 48s      | 12.75%           |
| 2195                 | 10975            | 32m 53s      | 12.75%           |
| 2200                 | 11000            | 32m 57s      | 12.75%           |
| 2205                 | 11025            | 33m 2s       | 12.75%           |
| 2210                 | 11050            | 33m 6s       | 12.75%           |
| 2215                 | 11075            | 33m 10s      | 12.75%           |
| 2220                 | 11100            | 33m 15s      | 12.75%           |
| 2225                 | 11125            | 33m 19s      | 13%              |
| 2230                 | 11150            | 33m 24s      | 13%              |
| 2235                 | 11175            | 33m 28s      | 13%              |
| 2240                 | 11200            | 33m 33s      | 13%              |
| 2245                 | 11225            | 33m 37s      | 13%              |
| 2250                 | 11250            | 33m 42s      | 13%              |
| 2255                 | 11275            | 33m 46s      | 13%              |
| 2260                 | 11300            | 33m 51s      | 13%              |
| 2265                 | 11325            | 33m 55s      | 13.25%           |
| 2270                 | 11350            | 34m 0s       | 13.25%           |
| 2275                 | 11375            | 34m 4s       | 13.25%           |
| 2280                 | 11400            | 34m 9s       | 13.25%           |
| 2285                 | 11425            | 34m 13s      | 13.25%           |
| 2290                 | 11450            | 34m 18s      | 13.25%           |
| 2295                 | 11475            | 34m 22s      | 13.25%           |
| 2300                 | 11500            | 34m 27s      | 13.25%           |
| 2305                 | 11525            | 34m 31s      | 13.25%           |
| 2310                 | 11550            | 34m 36s      | 13.5%            |
| 2315                 | 11575            | 34m 40s      | 13.5%            |
| 2320                 | 11600            | 34m 45s      | 13.5%            |
| 2325                 | 11625            | 34m 49s      | 13.5%            |
| 2330                 | 11650            | 34m 54s      | 13.5%            |
| 2335                 | 11675            | 34m 58s      | 13.5%            |
| 2340                 | 11700            | 35m 2s       | 13.5%            |
| 2345                 | 11725            | 35m 7s       | 13.5%            |
| 2350                 | 11750            | 35m 11s      | 13.75%           |
| 2355                 | 11775            | 35m 16s      | 13.75%           |
| 2360                 | 11800            | 35m 20s      | 13.75%           |
| 2365                 | 11825            | 35m 25s      | 13.75%           |
| 2370                 | 11850            | 35m 30s      | 13.75%           |
| 2375                 | 11875            | 35m 34s      | 13.75%           |
| 2380                 | 11900            | 35m 38s      | 13.75%           |
| 2385                 | 11925            | 35m 43s      | 13.75%           |
| 2390                 | 11950            | 35m 48s      | 13.75%           |
| 2395                 | 11975            | 35m 52s      | 14%              |
| 2400                 | 12000            | 35m 56s      | 14%              |
| 2405                 | 12025            | 36m 1s       | 14%              |
| 2410                 | 12050            | 36m 5s       | 14%              |
| 2415                 | 12075            | 36m 10s      | 14%              |
| 2420                 | 12100            | 36m 14s      | 14%              |
| 2425                 | 12125            | 36m 19s      | 14%              |
| 2430                 | 12150            | 36m 23s      | 14%              |
| 2435                 | 12175            | 36m 28s      | 14.25%           |
| 2440                 | 12200            | 36m 32s      | 14.25%           |
| 2445                 | 12225            | 36m 36s      | 14.25%           |
| 2450                 | 12250            | 36m 41s      | 14.25%           |
| 2455                 | 12275            | 36m 45s      | 14.25%           |
| 2460                 | 12300            | 36m 50s      | 14.25%           |
| 2465                 | 12325            | 36m 54s      | 14.25%           |
| 2470                 | 12350            | 36m 59s      | 14.25%           |
| 2475                 | 12375            | 37m 3s       | 14.25%           |
| 2480                 | 12400            | 37m 8s       | 14.5%            |
| 2485                 | 12425            | 37m 12s      | 14.5%            |
| 2490                 | 12450            | 37m 16s      | 14.5%            |
